uberID,CATAID,RA,Dec,spec_z,stellar_mass,HUBBLE_TYPE,mag_u,mag_g,mag_r,mag_i,mag_Z,mag_Y,mag_J,mag_H,mag_K,u_g,g_r,r_i,Z_Y,Y_J,J_H,H_K,scaled_mag_u,scaled_mag_g,scaled_mag_r,scaled_mag_i,scaled_mag_Z,scaled_mag_Y,scaled_mag_J,scaled_mag_H,scaled_mag_K,scaled_u_g,scaled_g_r,scaled_r_i,scaled_Z_Y,scaled_Y_J,scaled_J_H,scaled_H_K,scaled_spec_z,scaled_stellar_mass,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2,kmeans_cluster,gmm_cluster,subset_kmeans_cluster,subset_gmm_cluster
212991127108210,62381,212.522052802485,-0.31021096104405,0.05402,9.007924,Sd-Irr,20.034306,18.593765,18.184948,18.18605,17.706982,17.74118,17.684649,17.528408,17.783161,1.4405403,0.4088173,-0.0011024475,-0.03419876,0.056531906,0.15624046,-0.2547531,-0.9442144,-1.1692865,-0.6835408,-0.22298574,-0.50775194,-0.22357371,-0.066950575,0.013426395,0.45388603,0.0078034485,-1.5060068,-1.9775157,-2.6839933,-1.2417822,-0.4867342,-2.0500424,-1.6223252,-2.2963321,-1.1608479974019177,-4.786181458169426,5.2001615,3.6473386,,,5,6,5,4
212991149007705,62354,212.50139111103687,-0.357732537967892,0.0481,8.4983835,Sd-Irr,20.936031,19.97139,19.51585,19.488674,19.292717,19.17277,19.052757,18.71476,19.116304,0.9646416,0.4555397,0.027175903,0.11994743,0.12001228,0.33799744,-0.40154457,-0.18798614,0.25567037,0.9296724,1.339221,1.4109094,1.4726042,1.5220709,1.3666087,1.991538,-0.8054481,-1.3818035,-1.8295723,-0.8925675,-0.64028984,0.787756,-2.8383343,-1.6814831,-3.1270616,3.208734095134788,-4.730394885881292,4.2383556,6.5852065,,,3,6,6,6
212991187110624,592294,212.465505764472,-0.0829416041867877,0.05463,10.436849,S0-Sa,18.454525,16.731155,15.917931,15.54118,15.288397,15.085985,14.927267,14.748043,14.856477,1.7233696,0.8132248,0.37675095,0.20241165,0.15871811,0.17922401,-0.10843372,-2.2690902,-3.0958917,-3.4314382,-3.3949184,-3.43412,-3.3695068,-3.2695746,-3.157927,-2.9217618,0.49112344,-0.4309608,-0.0007051202,0.06579881,-0.27354255,-0.32557225,-1.2642856,-1.6162294,0.03331525,-9.702112716496556,-0.8549127027700124,9.298666,-2.9490356,,,6,2,2,1
212991220306743,567598,212.434252519782,-0.4483780910522399,0.0544,10.673177,S0-Sa,17.710823,16.261894,15.517713,15.124226,14.888081,14.629605,14.370741,14.090454,14.131405,1.4489288,0.74418163,0.39348698,0.2584753,0.2588644,0.2802868,-0.040950775,-2.8927925,-3.5812757,-3.9165506,-3.8949618,-3.9184828,-3.9102356,-3.9159648,-3.9079893,-3.7580621,0.022138381,-0.61449987,0.08685255,0.7173483,0.6753685,0.38308567,-0.90189207,-1.6185278,0.4186128,-11.442457551679498,-0.1635959046358113,10.020716,-2.7884972,,,6,2,2,1
213000062100852,592593,213.52473974650505,-0.0031458280420253,0.0388,9.117621,Sd-Irr,19.530193,18.444212,17.915142,17.840252,17.692913,17.636503,17.5731,17.404825,17.785082,1.0859814,0.5290699,0.07489014,0.056409836,0.06340408,0.16827393,-0.38025665,-1.3669858,-1.3239782,-1.010578,-0.6376939,-0.52477425,-0.3475975,-0.19651218,-0.12753527,0.4561014,-0.59809357,-1.1863365,-1.5799463,-1.6309762,-1.1766666,-0.4023549,-2.724015,-1.7744173,-2.117487,-1.8166490234016788,-4.667487168897356,5.247301,3.3884208,,,5,4,5,4
213000221202859,77452,213.374985515414,0.1857876586535169,0.02574,9.804192,Sab-Scd,17.126982,15.9584,15.4144535,15.18061,14.920679,14.799217,14.671363,14.471722,14.627454,1.168582,0.54394627,0.2338438,0.12146187,0.12785435,0.19964123,-0.15573215,-3.3824284,-3.8951976,-4.0417128,-3.8273418,-3.8790402,-3.7092757,-3.5668006,-3.473106,-3.1859176,-0.45693943,-1.1467904,-0.74835056,-0.87496734,-0.56598437,-0.18240559,-1.518285,-1.9049245,-0.9981372,-11.023052120351077,-2.836777123163238,9.682843,-2.1114132,,,6,2,2,2
213000331704678,617824,213.270956090554,0.357248463880383,0.0288,8.226413,Sd-Irr,20.788046,19.925419,19.436651,19.044952,19.352018,19.332436,19.182531,19.425198,18.861065,0.862627,0.48876762,0.39169884,0.019582748,0.14990425,-0.24266624,0.5641327,-0.31209347,0.20811997,0.8336739,0.8070756,1.4826611,1.66178,1.6728,2.1769516,1.6971439,-0.97977823,-1.293473,0.077497564,-2.058966,-0.35705605,-3.2838907,2.347496,-1.8743463,-3.5704691,3.7624632412167713,-4.361786406853666,2.225173,7.899445,,,3,6,0,6
213000342802440,77446,213.2605605621009,0.146478686847109,0.05461,10.404912,SBab-SBcd,17.356087,16.194998,15.652817,15.380921,15.416673,15.146923,14.9352865,14.744991,14.815248,1.161089,0.542181,0.2718954,0.26974964,0.21163654,0.19029522,-0.07025623,-3.1902905,-3.6504707,-3.752788,-3.5871127,-3.2789125,-3.2973063,-3.2602603,-3.161408,-2.9693158,-0.46974406,-1.1514829,-0.5492765,0.8483742,0.22787279,-0.24794033,-1.0592667,-1.6164293,-0.018752666,-10.18096582415107,-1.5535151129125382,9.388661,-2.5579362,,,6,2,2,1
213000348001049,77467,213.255623209742,0.0154991495600444,0.05375,8.757486,Sd-Irr,20.949015,19.638308,19.121569,18.990498,18.899288,18.77184,18.831646,18.409107,18.432379,1.3107071,0.5167389,0.13107109,0.12744904,-0.059806824,0.42253876,-0.02327156,-0.17709774,-0.088855855,0.45175603,0.74176925,0.9348801,0.99757314,1.265256,1.0179738,1.2026958,-0.21406534,-1.2191163,-1.2860253,-0.8053869,-2.3441207,1.3805646,-0.80695206,-1.6250232,-2.7046332,2.108665817356409,-3.912621353233948,4.0292463,6.120438,,,3,6,6,0
213000357410668,105738,213.246889064814,0.921161734967934,0.05288,10.411952,S0-Sa,18.176945,16.50872,15.738209,15.388124,15.184881,14.995169,14.816461,14.648867,14.732033,1.6682243,0.7705116,0.3500843,0.18971252,0.17870808,0.16759396,-0.08316612,-2.5018816,-3.3259692,-3.6492827,-3.578474,-3.5593688,-3.4771082,-3.3982735,-3.27105,-3.065296,0.39688703,-0.5445062,-0.14021665,-0.081785396,-0.08413263,-0.40712288,-1.1285948,-1.6337171,-0.0072749616,-10.15168947760787,-1.0138046752177643,9.484212,-2.8369927,-99.09765625,-32.33510208129883,6,2,2,1
